alert,destination-ip,destination-port,full_log,hostname,platform,priority,source-ip,source-port,time
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:21:06"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:21:08"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:21:08"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:21:09"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:21:09"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:21:10"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:21:10"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:21:11"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:21:11"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:21:12"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:21:12"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:21:13"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:21:13"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:21:14"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:21:14"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:21:15"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:21:15"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:21:16"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:21:16"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:21:17"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:21:17"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:21:18"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:21:18"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:21:19"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:21:19"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:21:20"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:21:20"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:21:21"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:21:21"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:21:22"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:21:22"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:21:23"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:21:23"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:21:24"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:21:24"
10000003,93.184.220.29,,,,snort,0,10.0.2.6,,"11/05/2021, 11:21:56"
10000003,93.184.220.29,,,,snort,0,10.0.2.6,,"11/05/2021, 11:22:18"
10000003,34.107.221.82,,,,snort,0,10.0.2.6,,"11/05/2021, 11:22:18"
10000003,34.107.221.82,,,,snort,0,10.0.2.6,,"11/05/2021, 11:22:18"
10000003,142.250.184.3,,,,snort,0,10.0.2.6,,"11/05/2021, 11:22:18"
10000003,142.250.184.3,,,,snort,0,10.0.2.6,,"11/05/2021, 11:22:18"
10000003,34.122.121.32,,,,snort,0,10.0.2.6,,"11/05/2021, 11:25:19"
10000003,91.189.91.39,,,,snort,0,10.0.2.6,,"12/05/2021, 10:39:28"
10000003,91.189.91.38,,,,snort,0,10.0.2.6,,"12/05/2021, 10:39:28"
10000003,91.189.91.39,,,,snort,0,10.0.2.6,,"12/05/2021, 10:41:37"
10000003,35.232.111.17,,,,snort,0,10.0.2.6,,"12/05/2021, 10:41:58"
10000003,34.122.121.32,,,,snort,0,10.0.2.6,,"12/05/2021, 10:46:58"
10000003,35.224.170.84,,,,snort,0,10.0.2.6,,"12/05/2021, 10:51:58"
10000003,35.224.170.84,,,,snort,0,10.0.2.6,,"12/05/2021, 10:57:19"
10000003,35.224.170.84,,,,snort,0,10.0.2.6,,"12/05/2021, 10:57:19"
Partition usage reached 100% (disk space monitor).,,,ossec: output: 'df -P': /dev/loop2               66432   66432           0      100% /snap/gtk-common-themes/1514,ubuntu,ossec,7,,,"13/05/2021, 14:42:51"
Ossec server started.,,,ossec: Ossec started.,ubuntu,ossec,3,,,"13/05/2021, 14:42:53"
Unknown problem somewhere in the system.,,,"May 13 05:42:53 ubuntu org.gnome.Shell.desktop[1096]: Disabling glamor and dri3, EGL setup failed",ubuntu,ossec,2,,,"13/05/2021, 14:42:55"
Unknown problem somewhere in the system.,,,"May 13 05:42:53 ubuntu org.gnome.Shell.desktop[1096]: Failed to initialize glamor, falling back to sw",ubuntu,ossec,2,,,"13/05/2021, 14:42:55"
